,Potencial Retardador,Corriente,Desfasaje,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal
78,1.7272727272727275,1.7245e-11,-3.66394e-11,10,14,,,
79,1.787878787878788,1.71775e-11,-3.75702e-11,10,14,,,
80,1.8484848484848486,1.72059e-11,-3.84548e-11,10,14,,,
81,1.9090909090909092,1.74013e-11,-3.94069e-11,10,14,,,
82,1.9696969696969697,1.73302e-11,-4.03768e-11,10,14,,,
83,2.0303030303030303,1.71775e-11,-4.1265e-11,10,14,,,
84,2.090909090909091,1.70389e-11,-4.20679e-11,10,14,,,
85,2.1515151515151514,1.69075e-11,-4.29277e-11,10,14,,,
86,2.212121212121212,1.70851e-11,-4.4132e-11,10,14,,,
87,2.2727272727272725,1.70958e-11,-4.5006e-11,10,14,,,
88,2.333333333333334,1.70389e-11,-4.59581e-11,10,14,,,
89,2.3939393939393945,1.69217e-11,-4.66474e-11,10,14,,,
90,2.454545454545455,1.69892e-11,-4.74041e-11,10,14,,,
91,2.5151515151515156,1.69714e-11,-4.82816e-11,10,14,,,
92,2.575757575757576,1.70531e-11,-4.9017e-11,10,14,,,
93,2.6363636363636367,1.70105e-11,-4.97702e-11,10,14,,,
94,2.6969696969696972,1.70638e-11,-5.07543e-11,10,14,,,
95,2.757575757575758,1.70141e-11,-5.15004e-11,10,14,,,
96,2.8181818181818183,1.69004e-11,-5.23104e-11,10,14,,,
97,2.878787878787879,1.68009e-11,-5.30387e-11,10,14,,,
98,2.9393939393939394,1.70602e-11,-5.37244e-11,10,14,,,
99,3.0,1.72308e-11,-5.42857e-11,10,14,,,
