,Potencial Retardador,Corriente,Desfasaje,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera
0,-3.0,-2.35191e-11,1.76145e-11,10,15,Fri Aug 30 09:29:28 2024,{1},{2.023},3.0
1,-2.9393939393939394,-2.78534e-12,1.78774e-11,10,16,,,,
2,-2.878787878787879,-8.91735e-13,1.59571e-11,10,13,,,,
3,-2.8181818181818183,1.08714e-12,1.69732e-11,10,13,,,,
4,-2.757575757575758,2.13342e-12,1.7698e-11,10,13,,,,
5,-2.696969696969697,2.48691e-12,1.7904e-11,10,13,,,,
6,-2.6363636363636362,2.60593e-12,1.79804e-11,10,13,,,,
7,-2.5757575757575757,2.86528e-12,1.79111e-11,10,13,,,,
8,-2.515151515151515,2.9239e-12,1.79378e-11,10,13,,,,
9,-2.4545454545454546,2.93988e-12,1.79466e-11,10,13,,,,
10,-2.393939393939394,3.01094e-12,1.81065e-11,10,13,,,,
11,-2.333333333333333,3.07844e-12,1.79253e-11,10,13,,,,
12,-2.2727272727272725,3.05357e-12,1.79342e-11,10,13,,,,
13,-2.212121212121212,2.76403e-12,1.80745e-11,10,13,,,,
14,-2.1515151515151514,2.86172e-12,1.80177e-11,10,13,,,,
15,-2.090909090909091,3.0962e-12,1.79591e-11,10,13,,,,
16,-2.0303030303030303,3.22055e-12,1.79449e-11,10,13,,,,
17,-1.9696969696969697,3.23476e-12,1.77086e-11,10,13,,,,
18,-1.9090909090909092,3.28272e-12,1.78969e-11,10,13,,,,
19,-1.8484848484848484,3.19746e-12,1.79502e-11,10,13,,,,
20,-1.7878787878787878,3.01804e-12,1.78418e-11,10,13,,,,
21,-1.7272727272727273,3.19746e-12,1.79022e-11,10,13,,,,
22,-1.6666666666666665,2.8333e-12,1.80816e-11,10,13,,,,
23,-1.606060606060606,2.98074e-12,1.7968e-11,10,13,,,,
24,-1.5454545454545454,3.23121e-12,1.81225e-11,10,13,,,,
25,-1.4848484848484849,3.18325e-12,1.80141e-11,10,13,,,,
26,-1.4242424242424243,2.98785e-12,1.78774e-11,10,13,,,,
27,-1.3636363636363635,3.07311e-12,1.78827e-11,10,13,,,,
28,-1.303030303030303,2.96298e-12,1.80213e-11,10,13,,,,
29,-1.2424242424242424,2.97364e-12,1.79609e-11,10,13,,,,
30,-1.1818181818181817,2.96298e-12,1.8142e-11,10,13,,,,
31,-1.121212121212121,3.04824e-12,1.80923e-11,10,13,,,,
32,-1.0606060606060606,2.95054e-12,1.81367e-11,10,13,,,,
33,-1.0,2.84929e-12,1.80905e-11,10,13,,,,
34,-0.9393939393939394,2.74093e-12,1.79236e-11,10,13,,,,
35,-0.8787878787878789,2.62547e-12,1.77814e-11,10,13,,,,
36,-0.8181818181818183,2.6308e-12,1.77424e-11,10,13,,,,
37,-0.7575757575757573,2.70541e-12,1.78738e-11,10,13,,,,
38,-0.6969696969696968,2.37323e-12,1.79591e-11,10,13,,,,
39,-0.6363636363636362,1.96466e-12,1.80213e-11,10,13,,,,
40,-0.5757575757575757,1.92381e-12,1.79395e-11,10,13,,,,
41,-0.5151515151515151,1.67866e-12,1.79875e-11,10,13,,,,
42,-0.4545454545454546,1.24168e-12,1.79271e-11,10,13,,,,
43,-0.39393939393939403,9.36147e-13,1.80497e-11,10,13,,,,
44,-0.33333333333333304,2.50468e-13,1.82184e-11,10,13,,,,
45,-0.2727272727272725,-3.69484e-13,1.79431e-11,10,13,,,,
46,-0.21212121212121193,-8.10022e-13,1.78241e-11,10,13,,,,
47,-0.15151515151515138,-1.48859e-12,1.78347e-11,10,13,,,,
48,-0.09090909090909083,-2.30217e-12,1.78525e-11,10,13,,,,
49,-0.030303030303030276,-3.58293e-12,1.78596e-11,10,13,,,,
50,0.030303030303030276,-4.52796e-12,1.78294e-11,10,13,,,,
51,0.09090909090909083,-5.81937e-12,1.79005e-11,10,13,,,,
52,0.15151515151515138,-6.92604e-12,1.78916e-11,10,13,,,,
53,0.21212121212121238,-8.06294e-12,1.76873e-11,10,13,,,,
54,0.27272727272727293,-9.08079e-12,1.76731e-11,10,13,,,,
55,0.3333333333333335,-1.03154e-11,1.77974e-11,10,13,,,,
56,0.39393939393939403,-1.14238e-11,1.79768e-11,10,13,,,,
57,0.4545454545454546,-1.27969e-11,1.78649e-11,10,13,,,,
58,0.5151515151515151,-1.42287e-11,1.77601e-11,10,13,,,,
59,0.5757575757575757,-1.52643e-11,1.76944e-11,10,13,,,,
60,0.6363636363636367,-1.63337e-11,1.75665e-11,10,13,,,,
61,0.6969696969696972,-1.74901e-11,1.76091e-11,10,13,,,,
62,0.7575757575757578,-1.87336e-11,1.74244e-11,10,13,,,,
63,0.8181818181818183,-1.99593e-11,1.74848e-11,10,13,,,,
64,0.8787878787878789,-2.12684e-11,1.76251e-11,10,13,,,,
65,0.9393939393939394,-2.26682e-11,1.73676e-11,10,13,,,,
66,1.0,-2.39312e-11,1.73391e-11,10,13,,,,
67,1.0606060606060606,-2.50485e-11,1.74404e-11,10,13,,,,
68,1.121212121212121,-2.62778e-11,1.74581e-11,10,13,,,,
69,1.1818181818181817,-2.74022e-11,1.75825e-11,10,13,,,,
70,1.2424242424242422,-2.85053e-11,1.75416e-11,10,13,,,,
71,1.3030303030303028,-3.02409e-11,1.71455e-11,10,14,,,,
72,1.3636363636363633,-3.18681e-11,1.69004e-11,10,14,,,,
73,1.4242424242424248,-3.20919e-11,1.70567e-11,10,14,,,,
74,1.4848484848484853,-3.29516e-11,1.73835e-11,10,14,,,,
75,1.5454545454545459,-3.3886e-11,1.73338e-11,10,14,,,,
76,1.6060606060606064,-3.46605e-11,1.74617e-11,10,14,,,,
77,1.666666666666667,-3.55025e-11,1.72521e-11,10,14,,,,
78,1.7272727272727275,-3.64191e-11,1.70602e-11,10,14,,,,
79,1.787878787878788,-3.70799e-11,1.71562e-11,10,14,,,,
80,1.8484848484848486,-3.80391e-11,1.72556e-11,10,14,,,,
81,1.9090909090909092,-3.9112e-11,1.7181e-11,10,14,,,,
82,1.9696969696969697,-4.05083e-11,1.73231e-11,10,14,,,,
83,2.0303030303030303,-4.16238e-11,1.74155e-11,10,14,,,,
84,2.090909090909091,-4.23699e-11,1.71029e-11,10,14,,,,
85,2.1515151515151514,-4.29028e-11,1.69146e-11,10,14,,,,
86,2.212121212121212,-4.30378e-11,1.69856e-11,10,14,,,,
87,2.2727272727272725,-4.33718e-11,1.72379e-11,10,14,,,,
88,2.333333333333334,-4.45193e-11,1.72201e-11,10,14,,,,
89,2.3939393939393945,-4.57236e-11,1.70922e-11,10,14,,,,
90,2.454545454545455,-4.62779e-11,1.72237e-11,10,14,,,,
91,2.5151515151515156,-4.67433e-11,1.74972e-11,10,14,,,,
92,2.575757575757576,-4.77984e-11,1.7181e-11,10,14,,,,
93,2.6363636363636367,-4.87079e-11,1.69608e-11,10,14,,,,
94,2.6969696969696972,-4.95854e-11,1.70389e-11,10,14,,,,
95,2.757575757575758,-5.03635e-11,1.7078e-11,10,14,,,,
96,2.8181818181818183,-5.09177e-11,1.70141e-11,10,14,,,,
97,2.878787878787879,-5.13867e-11,1.69181e-11,10,14,,,,
98,2.9393939393939394,-5.24631e-11,1.68791e-11,10,14,,,,
99,3.0,-5.31524e-11,1.68791e-11,10,14,,,,
