,Potencial Retardador,Corriente,Desfasaje,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal
0,-3.0,-3.28628e-11,1.72876e-11,10,15,Fri Aug 30 09:03:23 2024,{1},{2.023}
1,-2.877551020408163,-6.46597e-13,1.72947e-11,10,14,,,
2,-2.7551020408163267,4.59546e-12,1.66837e-11,10,13,,,
3,-2.63265306122449,3.51365e-12,1.77743e-11,10,13,,,
4,-2.510204081632653,3.58648e-12,1.80141e-11,10,13,,,
5,-2.387755102040816,3.79966e-12,1.78862e-11,10,13,,,
6,-2.2653061224489797,3.86538e-12,1.77992e-11,10,13,,,
7,-2.142857142857143,3.9613e-12,1.77495e-11,10,13,,,
8,-2.020408163265306,4.09631e-12,1.79058e-11,10,13,,,
9,-1.8979591836734695,4.22065e-12,1.78685e-11,10,13,,,
10,-1.7755102040816326,3.9542e-12,1.79271e-11,10,13,,,
11,-1.653061224489796,3.95775e-12,1.79609e-11,10,13,,,
12,-1.5306122448979593,4.08032e-12,1.80301e-11,10,13,,,
13,-1.4081632653061225,3.95775e-12,1.765e-11,10,13,,,
14,-1.2857142857142858,3.86893e-12,1.77921e-11,10,13,,,
15,-1.163265306122449,3.52608e-12,1.79573e-11,10,13,,,
16,-1.0408163265306123,3.43016e-12,1.79697e-11,10,13,,,
17,-0.9183673469387754,3.14594e-12,1.80017e-11,10,13,,,
18,-0.795918367346939,2.8635e-12,1.79218e-11,10,13,,,
19,-0.6734693877551021,2.42296e-12,1.79431e-11,10,13,,,
20,-0.5510204081632653,1.69643e-12,1.7936e-11,10,13,,,
21,-0.4285714285714288,5.43569e-13,1.78862e-11,10,13,,,
22,-0.30612244897959195,-6.3061e-13,1.78898e-11,10,13,,,
23,-0.18367346938775508,-2.54553e-12,1.77584e-11,10,13,,,
24,-0.06122448979591866,-5.18344e-12,1.78862e-11,10,13,,,
25,0.06122448979591821,-7.713e-12,1.77228e-11,10,13,,,
26,0.18367346938775508,-1.06173e-11,1.77122e-11,10,13,,,
27,0.30612244897959195,-1.37633e-11,1.77175e-11,10,13,,,
28,0.4285714285714284,-1.69963e-11,1.74972e-11,10,13,,,
29,0.5510204081632653,-2.0636e-11,1.74581e-11,10,13,,,
30,0.6734693877551021,-2.40733e-11,1.74883e-11,10,13,,,
31,0.7959183673469385,-2.53558e-11,1.69643e-11,10,14,,,
32,0.9183673469387754,-3.01486e-11,1.70531e-11,10,14,,,
33,1.0408163265306118,-3.41098e-11,1.73018e-11,10,14,,,
34,1.1632653061224492,-3.75062e-11,1.71917e-11,10,14,,,
35,1.2857142857142856,-4.08209e-11,1.69892e-11,10,14,,,
36,1.408163265306122,-4.40716e-11,1.71704e-11,10,14,,,
37,1.5306122448979593,-4.72655e-11,1.70745e-11,10,14,,,
38,1.6530612244897958,-5.0129e-11,1.69359e-11,10,14,,,
39,1.7755102040816322,-5.3028e-11,1.69998e-11,10,14,,,
40,1.8979591836734695,-5.57032e-11,1.68791e-11,10,14,,,
41,2.020408163265306,-5.86415e-11,1.69963e-11,10,14,,,
42,2.1428571428571423,-6.11675e-11,1.67938e-11,10,14,,,
43,2.2653061224489797,-6.38498e-11,1.67298e-11,10,14,,,
44,2.387755102040816,-6.71041e-11,1.68542e-11,10,16,,,
45,2.5102040816326525,-6.92641e-11,1.84458e-11,10,16,,,
46,2.63265306122449,-7.10547e-11,1.70816e-11,10,16,,,
47,2.7551020408163263,-7.33285e-11,1.66552e-11,10,16,,,
48,2.8775510204081627,-7.57159e-11,1.66552e-11,10,16,,,
49,3.0,-7.77622e-11,1.67405e-11,10,16,,,
