,Potencial Retardador,Corriente,Desfasaje,X,Y,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera
62,0.06565656565656552,2.00641e-11,-27.432,1.78081e-11,-9.24599e-12,10,13,,,,
63,0.09090909090909083,2.03607e-11,-28.056,1.7968e-11,-9.5764e-12,10,13,,,,
64,0.11616161616161613,2.04673e-11,-28.89,1.792e-11,-9.88903e-12,10,13,,,,
65,0.14141414141414144,2.08332e-11,-29.784,1.80799e-11,-1.03527e-11,10,14,,,,
66,0.16666666666666674,2.25456e-11,-30.726,1.93819e-11,-1.15197e-11,10,13,,,,
67,0.19191919191919182,2.1359e-11,-31.074,1.82948e-11,-1.10259e-11,10,13,,,,
68,0.21717171717171713,2.12649e-11,-31.86,1.80621e-11,-1.12249e-11,10,13,,,,
69,0.24242424242424243,2.13644e-11,-32.49,1.80213e-11,-1.14771e-11,10,13,,,,
70,0.26767676767676774,2.17125e-11,-33.066,1.81971e-11,-1.18466e-11,10,13,,,,
71,0.2929292929292928,2.17623e-11,-34.734,1.78845e-11,-1.24026e-11,10,13,,,,
72,0.3181818181818181,2.205e-11,-35.49,1.79537e-11,-1.2804e-11,10,13,,,,
73,0.3434343434343434,2.23289e-11,-36.312,1.79911e-11,-1.32233e-11,10,13,,,,
74,0.36868686868686873,2.25279e-11,-37.404,1.78951e-11,-1.36851e-11,10,13,,,,
75,0.3939393939393938,2.2654e-11,-38.166,1.78116e-11,-1.40013e-11,10,13,,,,
76,0.4191919191919191,2.28831e-11,-38.682,1.78632e-11,-1.43033e-11,10,13,,,,
77,0.4444444444444444,2.31212e-11,-38.784,1.8023e-11,-1.44827e-11,10,13,,,,
78,0.4696969696969697,2.32864e-11,-39.612,1.79378e-11,-1.48487e-11,10,13,,,,
79,0.4949494949494948,2.39365e-11,-42.078,1.77672e-11,-1.60424e-11,10,13,,,,
80,0.5202020202020203,2.42776e-11,-42.876,1.77921e-11,-1.65202e-11,10,13,,,,
81,0.5454545454545454,2.44108e-11,-42.984,1.7856e-11,-1.66446e-11,10,13,,,,
82,0.5707070707070705,2.42101e-11,-42.894,1.7737e-11,-1.64794e-11,10,13,,,,
83,0.595959595959596,2.50752e-11,-44.688,1.78259e-11,-1.76358e-11,10,13,,,,
84,0.6212121212121211,2.60681e-11,-46.776,1.78525e-11,-1.89965e-11,10,13,,,,
85,0.6464646464646466,2.68604e-11,-48.498,1.77974e-11,-2.01174e-11,10,13,,,,
86,0.6717171717171717,2.6919e-11,-48.45,1.78543e-11,-2.01458e-11,10,13,,,,
87,0.6969696969696968,2.74182e-11,-49.23,1.79058e-11,-2.07657e-11,10,13,,,,
88,0.7222222222222223,2.78569e-11,-50.778,1.76145e-11,-2.15828e-11,10,13,,,,
89,0.7474747474747474,2.87647e-11,-51.906,1.77441e-11,-2.26398e-11,10,13,,,,
90,0.7727272727272725,2.9454e-11,-52.476,1.79395e-11,-2.3361e-11,10,13,,,,
91,0.797979797979798,2.95002e-11,-52.362,1.80141e-11,-2.3361e-11,10,13,,,,
92,0.8232323232323231,2.98963e-11,-53.292,1.78703e-11,-2.39685e-11,10,13,,,,
93,0.8484848484848486,2.96938e-11,-53.58,1.76305e-11,-2.38957e-11,10,13,,,,
94,0.8737373737373737,3.01841e-11,-54.066,1.77139e-11,-2.4441e-11,10,13,,,,
95,0.8989898989898988,3.02622e-11,-53.988,1.77921e-11,-2.44819e-11,10,13,,,,
96,0.9242424242424243,3.0177e-11,-54.372,1.75807e-11,-2.45298e-11,10,13,,,,
97,0.9494949494949494,3.07632e-11,-55.038,1.76287e-11,-2.52137e-11,10,13,,,,
98,0.9747474747474749,3.07685e-11,-55.212,1.75541e-11,-2.52706e-11,10,13,,,,
99,1.0,3.09888e-11,-54.744,1.78862e-11,-2.53079e-11,10,13,,,,
