,Potencial Retardador,Corriente,Desfasaje,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera
75,1.5454545454545459,-3.74885e-11,1.71597e-11,10,14,,,,
76,1.6060606060606064,-3.86218e-11,1.72343e-11,10,14,,,,
77,1.666666666666667,-3.98368e-11,1.72308e-11,10,14,,,,
78,1.7272727272727275,-4.032e-11,1.71064e-11,10,14,,,,
79,1.787878787878788,-4.07214e-11,1.69679e-11,10,14,,,,
80,1.8484848484848486,-4.13574e-11,1.70212e-11,10,14,,,,
81,1.9090909090909092,-4.23734e-11,1.68577e-11,10,14,,,,
82,1.9696969696969697,-4.35458e-11,1.68897e-11,10,14,,,,
83,2.0303030303030303,-4.50096e-11,1.7007e-11,10,14,,,,
84,2.090909090909091,-4.6086e-11,1.66943e-11,10,14,,,,
85,2.1515151515151514,-4.73188e-11,1.68009e-11,10,14,,,,
86,2.212121212121212,-4.87754e-11,1.6776e-11,10,14,,,,
87,2.2727272727272725,-5.00224e-11,1.68897e-11,10,14,,,,
88,2.333333333333334,-5.02853e-11,1.68791e-11,10,14,,,,
89,2.3939393939393945,-5.06299e-11,1.68293e-11,10,14,,,,
90,2.454545454545455,-5.14613e-11,1.7007e-11,10,14,,,,
91,2.5151515151515156,-5.23033e-11,1.67973e-11,10,14,,,,
92,2.575757575757576,-5.26834e-11,1.684e-11,10,14,,,,
93,2.6363636363636367,-5.36746e-11,1.68826e-11,10,14,,,,
94,2.6969696969696972,-5.46516e-11,1.69323e-11,10,14,,,,
95,2.757575757575758,-5.59377e-11,1.70602e-11,10,14,,,,
96,2.8181818181818183,-5.69182e-11,1.69181e-11,10,14,,,,
97,2.878787878787879,-5.781e-11,1.6705e-11,10,14,,,,
98,2.9393939393939394,-5.87481e-11,1.67512e-11,10,14,,,,
99,3.0,-5.96789e-11,1.67547e-11,10,14,,,,
