,Corriente,Desfasaje,X,Y,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera,Volt al LED,Potencial Retardador
0,2.28298e-11,-38.04,1.79804e-11,-1.40688e-11,10,13,Fri Aug 30 12:30:53 2024,{1},{2.023},3.0,5.0,1.0
1,2.31407e-11,-38.448,1.81225e-11,-1.43921e-11,10,13,,,,,,
2,2.34072e-11,-38.4,1.83428e-11,-1.45395e-11,10,13,,,,,,
3,2.32935e-11,-38.232,1.82966e-11,-1.4417e-11,10,13,,,,,,
4,2.32668e-11,-37.956,1.83445e-11,-1.43122e-11,10,13,,,,,,
5,2.30892e-11,-38.406,1.80941e-11,-1.43459e-11,10,13,,,,,,
6,2.29542e-11,-38.604,1.79378e-11,-1.43228e-11,10,13,,,,,,
7,2.30395e-11,-38.424,1.80497e-11,-1.4321e-11,10,13,,,,,,
8,2.29968e-11,-38.37,1.80301e-11,-1.42749e-11,10,13,,,,,,
9,2.30874e-11,-38.148,1.81563e-11,-1.42624e-11,10,13,,,,,,
