,Corriente,Desfasaje,X,Y,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera,Volt al LED,Potencial Retardador
0,2.1002e-11,-30.096,1.81705e-11,-1.05339e-11,10,13,Fri Aug 30 12:29:39 2024,{1},{2.023},3.0,5.0,1.0
1,2.10162e-11,-30.21,1.81616e-11,-1.05765e-11,10,13,,,,,,
2,2.1089e-11,-30.474,1.81758e-11,-1.06955e-11,10,13,,,,,,
3,2.10819e-11,-30.528,1.8158e-11,-1.07097e-11,10,13,,,,,,
4,2.12205e-11,-30.846,1.82184e-11,-1.0882e-11,10,13,,,,,,
5,2.12613e-11,-30.12,1.83907e-11,-1.06706e-11,10,13,,,,,,
6,2.10197e-11,-29.82,1.82362e-11,-1.04557e-11,10,13,,,,,,
7,2.10659e-11,-29.922,1.82575e-11,-1.0509e-11,10,13,,,,,,
8,2.09984e-11,-29.724,1.82344e-11,-1.04113e-11,10,13,,,,,,
9,2.10073e-11,-29.958,1.82007e-11,-1.04912e-11,10,13,,,,,,
