,Corriente,Desfasaje,X,Y,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera,Volt al LED,Potencial Retardador
0,2.63577e-11,-47.022,1.7968e-11,-1.92842e-11,10,13,Fri Aug 30 12:39:24 2024,{1},{2.023},3.0,5.0,1.0
1,2.71482e-11,-48.78,1.78898e-11,-2.04211e-11,10,13,,,,,,
2,2.77344e-11,-49.926,1.78543e-11,-2.12258e-11,10,13,,,,,,
3,2.8095e-11,-50.376,1.79164e-11,-2.16415e-11,10,13,,,,,,
4,2.83135e-11,-50.556,1.79875e-11,-2.18671e-11,10,13,,,,,,
5,2.84591e-11,-50.784,1.79928e-11,-2.205e-11,10,13,,,,,,
6,2.84645e-11,-50.976,1.79236e-11,-2.21158e-11,10,13,,,,,,
7,2.8397e-11,-50.91,1.79058e-11,-2.20411e-11,10,13,,,,,,
8,2.84325e-11,-50.688,1.80141e-11,-2.20003e-11,10,13,,,,,,
9,2.84112e-11,-50.61,1.80301e-11,-2.19594e-11,10,13,,,,,,
10,2.8349e-11,-50.862,1.78934e-11,-2.19896e-11,10,13,,,,,,
11,2.8349e-11,-51.21,1.77601e-11,-2.2098e-11,10,13,,,,,,
12,2.8436e-11,-51.336,1.77655e-11,-2.22046e-11,10,13,,,,,,
13,2.85479e-11,-51.306,1.78472e-11,-2.22827e-11,10,13,,,,,,
14,2.86332e-11,-51.168,1.79537e-11,-2.23058e-11,10,13,,,,,,
15,2.87007e-11,-51.03,1.80497e-11,-2.23165e-11,10,13,,,,,,
16,2.86829e-11,-51.198,1.79733e-11,-2.23556e-11,10,13,,,,,,
17,2.87238e-11,-51.516,1.78756e-11,-2.2487e-11,10,13,,,,,,
18,2.89618e-11,-51.828,1.78987e-11,-2.27695e-11,10,13,,,,,,
19,2.92284e-11,-52.206,1.79093e-11,-2.30981e-11,10,13,,,,,,
20,2.93812e-11,-52.41,1.79218e-11,-2.32828e-11,10,13,,,,,,
21,2.90009e-11,-51.69,1.79768e-11,-2.27588e-11,10,13,,,,,,
22,2.82104e-11,-50.112,1.80923e-11,-2.16486e-11,10,13,,,,,,
23,2.75301e-11,-48.75,1.81509e-11,-2.07e-11,10,13,,,,,,
24,2.70949e-11,-48.042,1.81154e-11,-2.01493e-11,10,13,,,,,,
25,2.67893e-11,-47.58,1.80692e-11,-1.97781e-11,10,13,,,,,,
26,2.66615e-11,-47.28,1.8087e-11,-1.9588e-11,10,13,,,,,,
27,2.66028e-11,-47.082,1.81154e-11,-1.94832e-11,10,13,,,,,,
28,2.65353e-11,-47.004,1.80941e-11,-1.94086e-11,10,13,,,,,,
29,2.64518e-11,-47.022,1.80319e-11,-1.93535e-11,10,13,,,,,,
