,Corriente,Desfasaje,X,Y,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera,Volt al LED,Potencial Retardador
0,1.90089e-11,-14.604,1.83925e-11,-4.79441e-12,10,13,Fri Aug 30 13:02:33 2024,{1},{2.023},3.0,5.0,1.0
1,1.91102e-11,-14.424,1.8508e-11,-4.76066e-12,10,13,,,,,,
2,1.90871e-11,-14.49,1.84796e-11,-4.77665e-12,10,13,,,,,,
3,1.89592e-11,-14.562,1.83517e-11,-4.76777e-12,10,13,,,,,,
4,1.89467e-11,-14.37,1.83534e-11,-4.70382e-12,10,13,,,,,,
5,1.89307e-11,-14.526,1.8325e-11,-4.74823e-12,10,13,,,,,,
6,1.89752e-11,-14.694,1.83552e-11,-4.81395e-12,10,13,,,,,,
7,1.90515e-11,-14.52,1.8444e-11,-4.77665e-12,10,13,,,,,,
8,1.90444e-11,-14.232,1.846e-11,-4.68428e-12,10,13,,,,,,
9,1.89752e-11,-14.082,1.84049e-11,-4.61678e-12,10,13,,,,,,
10,1.88473e-11,-14.064,1.82824e-11,-4.58125e-12,10,13,,,,,,
11,1.88046e-11,-13.938,1.82522e-11,-4.53151e-12,10,13,,,,,,
12,1.88686e-11,-14.256,1.82859e-11,-4.64698e-12,10,13,,,,,,
13,1.8881e-11,-14.52,1.82788e-11,-4.7358e-12,10,13,,,,,,
14,1.88224e-11,-14.73,1.82042e-11,-4.78731e-12,10,13,,,,,,
15,1.87602e-11,-14.706,1.81456e-11,-4.76244e-12,10,13,,,,,,
16,1.87762e-11,-14.628,1.81687e-11,-4.7429e-12,10,13,,,,,,
17,1.87975e-11,-14.694,1.81829e-11,-4.76955e-12,10,13,,,,,,
18,1.88615e-11,-14.718,1.82433e-11,-4.79264e-12,10,13,,,,,,
19,1.89005e-11,-14.55,1.8293e-11,-4.74823e-12,10,13,,,,,,
20,1.88881e-11,-14.07,1.83215e-11,-4.59369e-12,10,13,,,,,,
21,1.88224e-11,-14.058,1.82593e-11,-4.57415e-12,10,13,,,,,,
22,1.87727e-11,-13.92,1.8222e-11,-4.5173e-12,10,13,,,,,,
23,1.87282e-11,-13.926,1.81776e-11,-4.50842e-12,10,13,,,,,,
24,1.8714e-11,-14.184,1.81438e-11,-4.58658e-12,10,13,,,,,,
25,1.88348e-11,-14.244,1.82575e-11,-4.63632e-12,10,13,,,,,,
26,1.89254e-11,-14.358,1.83339e-11,-4.69316e-12,10,13,,,,,,
27,1.89059e-11,-14.418,1.83108e-11,-4.70915e-12,10,13,,,,,,
28,1.88366e-11,-14.256,1.82575e-11,-4.63987e-12,10,13,,,,,,
29,1.87798e-11,-14.304,1.81989e-11,-4.63987e-12,10,13,,,,,,
