,Corriente,Desfasaje,X,Y,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera,Volt al LED,Potencial Retardador
0,2.81234e-11,-50.478,1.78969e-11,-2.16948e-11,10,13,Fri Aug 30 12:55:48 2024,{1},{2.023},3.0,5.0,1.0
1,2.8214e-11,-50.328,1.80141e-11,-2.17178e-11,10,13,,,,,,
2,2.81714e-11,-50.172,1.80408e-11,-2.16361e-11,10,13,,,,,,
3,2.81802e-11,-50.04,1.80976e-11,-2.16024e-11,10,13,,,,,,
4,2.82584e-11,-50.16,1.81012e-11,-2.17001e-11,10,13,,,,,,
5,2.83419e-11,-50.448,1.80461e-11,-2.18546e-11,10,13,,,,,,
6,2.84538e-11,-50.604,1.80586e-11,-2.19914e-11,10,13,,,,,,
7,2.85426e-11,-50.472,1.81651e-11,-2.20181e-11,10,13,,,,,,
8,2.85657e-11,-50.466,1.81829e-11,-2.2034e-11,10,13,,,,,,
9,2.85852e-11,-50.436,1.8206e-11,-2.20376e-11,10,13,,,,,,
10,2.85355e-11,-50.232,1.8254e-11,-2.19346e-11,10,13,,,,,,
11,2.83668e-11,-49.986,1.8238e-11,-2.17267e-11,10,13,,,,,,
12,2.81163e-11,-50.004,1.8071e-11,-2.15402e-11,10,13,,,,,,
13,2.78996e-11,-49.794,1.80106e-11,-2.13075e-11,10,13,,,,,,
14,2.78498e-11,-49.56,1.80657e-11,-2.11974e-11,10,13,,,,,,
15,2.79387e-11,-49.602,1.81083e-11,-2.12791e-11,10,13,,,,,,
16,2.80221e-11,-49.77,1.80976e-11,-2.13946e-11,10,13,,,,,,
17,2.80168e-11,-49.944,1.80301e-11,-2.14443e-11,10,13,,,,,,
18,2.80399e-11,-49.92,1.80532e-11,-2.14549e-11,10,13,,,,,,
19,2.81305e-11,-49.95,1.81012e-11,-2.15349e-11,10,13,,,,,,
20,2.81145e-11,-49.914,1.8103e-11,-2.15118e-11,10,13,,,,,,
21,2.80594e-11,-50.1,1.79982e-11,-2.15278e-11,10,13,,,,,,
22,2.79102e-11,-50.118,1.78951e-11,-2.14176e-11,10,13,,,,,,
23,2.7825e-11,-50.226,1.77992e-11,-2.13874e-11,10,13,,,,,,
24,2.78072e-11,-50.178,1.78081e-11,-2.1359e-11,10,13,,,,,,
25,2.78072e-11,-50.076,1.78454e-11,-2.13288e-11,10,13,,,,,,
26,2.77752e-11,-49.902,1.7888e-11,-2.12489e-11,10,13,,,,,,
27,2.78552e-11,-49.824,1.79697e-11,-2.12844e-11,10,13,,,,,,
28,2.78569e-11,-49.692,1.80213e-11,-2.12453e-11,10,13,,,,,,
29,2.77486e-11,-49.59,1.79893e-11,-2.11299e-11,10,13,,,,,,
