,Potencial Retardador,Corriente,Desfasaje,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera
0,-3.0,1.51346e-12,1.79609e-11,10,13,Fri Aug 30 09:55:14 2024,{1},{2.023},3.0
1,-2.9393939393939394,1.64669e-12,1.80372e-11,10,13,,,,
2,-2.878787878787879,1.84387e-12,1.81154e-11,10,13,,,,
3,-2.8181818181818183,1.85453e-12,1.7968e-11,10,13,,,,
4,-2.757575757575758,1.79235e-12,1.81669e-11,10,13,,,,
5,-2.696969696969697,2.01085e-12,1.80443e-11,10,13,,,,
6,-2.6363636363636362,2.20092e-12,1.8103e-11,10,13,,,,
7,-2.5757575757575757,2.17427e-12,1.80177e-11,10,13,,,,
8,-2.515151515151515,2.29862e-12,1.80141e-11,10,13,,,,
9,-2.4545454545454546,2.43718e-12,1.82042e-11,10,13,,,,
10,-2.393939393939394,2.37856e-12,1.82788e-11,10,13,,,,
11,-2.333333333333333,2.34125e-12,1.82202e-11,10,13,,,,
12,-2.2727272727272725,2.39987e-12,1.82007e-11,10,13,,,,
13,-2.212121212121212,2.47626e-12,1.83037e-11,10,13,,,,
14,-2.1515151515151514,2.58284e-12,1.82238e-11,10,13,,,,
15,-2.090909090909091,2.56152e-12,1.80781e-11,10,13,,,,
16,-2.0303030303030303,2.37678e-12,1.79768e-11,10,13,,,,
17,-1.9696969696969697,2.68942e-12,1.81527e-11,10,13,,,,
18,-1.9090909090909092,2.69119e-12,1.78703e-11,10,13,,,,
19,-1.8484848484848484,2.74093e-12,1.81776e-11,10,13,,,,
20,-1.7878787878787878,2.82797e-12,1.81367e-11,10,13,,,,
21,-1.7272727272727273,2.82264e-12,1.80692e-11,10,13,,,,
22,-1.6666666666666665,2.74449e-12,1.82238e-11,10,13,,,,
23,-1.606060606060606,2.62725e-12,1.82326e-11,10,13,,,,
24,-1.5454545454545454,2.75514e-12,1.80674e-11,10,13,,,,
25,-1.4848484848484849,2.66633e-12,1.78685e-11,10,13,,,,
26,-1.4242424242424243,2.81021e-12,1.80284e-11,10,13,,,,
27,-1.3636363636363635,2.78179e-12,1.81491e-11,10,13,,,,
28,-1.303030303030303,2.73738e-12,1.81793e-11,10,13,,,,
29,-1.2424242424242424,2.95232e-12,1.81634e-11,10,13,,,,
30,-1.1818181818181817,2.88482e-12,1.81705e-11,10,13,,,,
31,-1.121212121212121,3.01094e-12,1.81438e-11,10,13,,,,
32,-1.0606060606060606,2.96653e-12,1.81101e-11,10,13,,,,
33,-1.0,2.93633e-12,1.8174e-11,10,13,,,,
34,-0.9393939393939394,2.78001e-12,1.80763e-11,10,13,,,,
35,-0.8787878787878789,2.73738e-12,1.8206e-11,10,13,,,,
36,-0.8181818181818183,2.81376e-12,1.79342e-11,10,13,,,,
37,-0.7575757575757573,2.82975e-12,1.81545e-11,10,13,,,,
38,-0.6969696969696968,2.89192e-12,1.81527e-11,10,13,,,,
39,-0.6363636363636362,2.67698e-12,1.81865e-11,10,13,,,,
40,-0.5757575757575757,2.53488e-12,1.81758e-11,10,13,,,,
41,-0.5151515151515151,2.35191e-12,1.79537e-11,10,13,,,,
42,-0.4545454545454546,2.38566e-12,1.80301e-11,10,13,,,,
43,-0.39393939393939403,2.12809e-12,1.79911e-11,10,13,,,,
44,-0.33333333333333304,2.01796e-12,1.79218e-11,10,13,,,,
45,-0.2727272727272725,1.87585e-12,1.80213e-11,10,13,,,,
46,-0.21212121212121193,1.49925e-12,1.80799e-11,10,13,,,,
47,-0.15151515151515138,1.15286e-12,1.80408e-11,10,13,,,,
48,-0.09090909090909083,6.62585e-13,1.81136e-11,10,13,,,,
49,-0.030303030303030276,1.42109e-13,1.80372e-11,10,13,,,,
50,0.030303030303030276,-4.05011e-13,1.79431e-11,10,13,,,,
51,0.09090909090909083,-1.03207e-12,1.77655e-11,10,13,,,,
52,0.15151515151515138,-1.59162e-12,1.78472e-11,10,13,,,,
53,0.21212121212121238,-2.31994e-12,1.77441e-11,10,13,,,,
54,0.27272727272727293,-2.87949e-12,1.78738e-11,10,13,,,,
55,0.3333333333333335,-3.55806e-12,1.78667e-11,10,13,,,,
56,0.39393939393939403,-4.20289e-12,1.77441e-11,10,13,,,,
57,0.4545454545454546,-4.91521e-12,1.77637e-11,10,13,,,,
58,0.5151515151515151,-5.82825e-12,1.77157e-11,10,13,,,,
59,0.5757575757575757,-6.40557e-12,1.792e-11,10,13,,,,
60,0.6363636363636367,-7.09302e-12,1.77885e-11,10,13,,,,
61,0.6969696969696972,-7.84267e-12,1.78489e-11,10,13,,,,
62,0.7575757575757578,-8.39157e-12,1.8103e-11,10,13,,,,
63,0.8181818181818183,-8.95289e-12,1.80603e-11,10,13,,,,
64,0.8787878787878789,-9.56751e-12,1.78436e-11,10,13,,,,
65,0.9393939393939394,-1.02763e-11,1.76997e-11,10,13,,,,
66,1.0,-1.07275e-11,1.77672e-11,10,13,,,,
67,1.0606060606060606,-1.16689e-11,1.77672e-11,10,13,,,,
68,1.121212121212121,-1.23155e-11,1.75843e-11,10,13,,,,
69,1.1818181818181817,-1.26992e-11,1.75772e-11,10,13,,,,
70,1.2424242424242422,-1.32162e-11,1.79484e-11,10,13,,,,
71,1.3030303030303028,-1.37935e-11,1.79573e-11,10,13,,,,
72,1.3636363636363633,-1.44258e-11,1.79111e-11,10,13,,,,
73,1.4242424242424248,-1.52111e-11,1.78632e-11,10,13,,,,
74,1.4848484848484853,-1.5863e-11,1.76837e-11,10,13,,,,
75,1.5454545454545459,-1.62058e-11,1.79005e-11,10,13,,,,
76,1.6060606060606064,-1.70993e-11,1.76891e-11,10,13,,,,
77,1.666666666666667,-1.77441e-11,1.78241e-11,10,13,,,,
78,1.7272727272727275,-1.81172e-11,1.76713e-11,10,13,,,,
79,1.787878787878788,-1.85382e-11,1.75292e-11,10,13,,,,
80,1.8484848484848486,-1.92452e-11,1.75931e-11,10,13,,,,
81,1.9090909090909092,-1.98473e-11,1.76411e-11,10,13,,,,
82,1.9696969696969697,-2.02008e-11,1.75949e-11,10,13,,,,
83,2.0303030303030303,-2.04122e-11,1.77317e-11,10,13,,,,
84,2.090909090909091,-2.07657e-11,1.75292e-11,10,13,,,,
85,2.1515151515151514,-2.18937e-11,1.72716e-11,10,13,,,,
86,2.212121212121212,-2.20536e-11,1.73143e-11,10,13,,,,
