,Potencial Retardador,Corriente,Desfasaje,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera
0,-3.0,2.29329e-12,1.77619e-11,10,13,Fri Aug 30 09:48:36 2024,{1},{2.023},3.0
1,-2.9393939393939394,2.33948e-12,1.77441e-11,10,13,,,,
2,-2.878787878787879,2.65922e-12,1.78259e-11,10,13,,,,
3,-2.8181818181818183,2.6308e-12,1.79253e-11,10,13,,,,
4,-2.757575757575758,2.60238e-12,1.78969e-11,10,13,,,,
5,-2.696969696969697,2.82975e-12,1.80923e-11,10,13,,,,
6,-2.6363636363636362,3.01094e-12,1.79342e-11,10,13,,,,
7,-2.5757575757575757,2.98074e-12,1.77175e-11,10,13,,,,
8,-2.515151515151515,2.81909e-12,1.77566e-11,10,13,,,,
9,-2.4545454545454546,2.69652e-12,1.78134e-11,10,13,,,,
10,-2.393939393939394,2.86172e-12,1.79395e-11,10,13,,,,
11,-2.333333333333333,2.88659e-12,1.8023e-11,10,13,,,,
12,-2.2727272727272725,2.97719e-12,1.79982e-11,10,13,,,,
13,-2.212121212121212,2.90258e-12,1.79484e-11,10,13,,,,
14,-2.1515151515151514,3.0962e-12,1.78223e-11,10,13,,,,
15,-2.090909090909091,3.01094e-12,1.7785e-11,10,13,,,,
16,-2.0303030303030303,2.98429e-12,1.7833e-11,10,13,,,,
17,-1.9696969696969697,2.74626e-12,1.76766e-11,10,13,,,,
18,-1.9090909090909092,2.8333e-12,1.77282e-11,10,13,,,,
19,-1.8484848484848484,2.89548e-12,1.79182e-11,10,13,,,,
20,-1.7878787878787878,2.77646e-12,1.79449e-11,10,13,,,,
21,-1.7272727272727273,2.95765e-12,1.78418e-11,10,13,,,,
22,-1.6666666666666665,2.89192e-12,1.78916e-11,10,13,,,,
23,-1.606060606060606,3.1264e-12,1.78916e-11,10,13,,,,
24,-1.5454545454545454,2.97541e-12,1.79342e-11,10,13,,,,
25,-1.4848484848484849,2.94344e-12,1.78276e-11,10,13,,,,
26,-1.4242424242424243,3.01449e-12,1.78951e-11,10,13,,,,
27,-1.3636363636363635,3.31114e-12,1.79431e-11,10,13,,,,
28,-1.303030303030303,2.9239e-12,1.79502e-11,10,13,,,,
29,-1.2424242424242424,2.93811e-12,1.79236e-11,10,13,,,,
30,-1.1818181818181817,3.01627e-12,1.7737e-11,10,13,,,,
31,-1.121212121212121,3.22943e-12,1.79289e-11,10,13,,,,
32,-1.0606060606060606,3.18147e-12,1.78401e-11,10,13,,,,
33,-1.0,2.89725e-12,1.77548e-11,10,13,,,,
34,-0.9393939393939394,2.89548e-12,1.77708e-11,10,13,,,,
35,-0.8787878787878789,3.18857e-12,1.77797e-11,10,13,,,,
36,-0.8181818181818183,3.12818e-12,1.77921e-11,10,13,,,,
37,-0.7575757575757573,3.04647e-12,1.77655e-11,10,13,,,,
38,-0.6969696969696968,2.79422e-12,1.78063e-11,10,13,,,,
39,-0.6363636363636362,2.61481e-12,1.75985e-11,10,13,,,,
40,-0.5757575757575757,2.55264e-12,1.7753e-11,10,13,,,,
41,-0.5151515151515151,2.44428e-12,1.75914e-11,10,13,,,,
42,-0.4545454545454546,2.18316e-12,1.75949e-11,10,13,,,,
43,-0.39393939393939403,2.0748e-12,1.76607e-11,10,13,,,,
44,-0.33333333333333304,1.67866e-12,1.77637e-11,10,13,,,,
45,-0.2727272727272725,1.13865e-12,1.7968e-11,10,13,,,,
46,-0.21212121212121193,5.15147e-13,1.78738e-11,10,13,,,,
47,-0.15151515151515138,-8.17128e-14,1.7833e-11,10,13,,,,
48,-0.09090909090909083,-7.58508e-13,1.79111e-11,10,13,,,,
49,-0.030303030303030276,-1.51879e-12,1.78028e-11,10,13,,,,
50,0.030303030303030276,-2.3004e-12,1.77672e-11,10,13,,,,
51,0.09090909090909083,-3.37687e-12,1.77566e-11,10,13,,,,
52,0.15151515151515138,-4.29703e-12,1.76216e-11,10,13,,,,
53,0.21212121212121238,-5.22074e-12,1.75754e-11,10,13,,,,
54,0.27272727272727293,-6.09471e-12,1.77299e-11,10,13,,,,
55,0.3333333333333335,-7.22625e-12,1.76464e-11,10,13,,,,
56,0.39393939393939403,-8.31518e-12,1.76908e-11,10,13,,,,
57,0.4545454545454546,-9.30461e-12,1.77175e-11,10,13,,,,
58,0.5151515151515151,-1.05125e-11,1.77264e-11,10,13,,,,
59,0.5757575757575757,-1.15855e-11,1.76784e-11,10,13,,,,
60,0.6363636363636367,-1.25127e-11,1.7563e-11,10,13,,,,
61,0.6969696969696972,-1.35448e-11,1.75931e-11,10,13,,,,
62,0.7575757575757578,-1.4234e-11,1.74883e-11,10,13,,,,
63,0.8181818181818183,-1.51791e-11,1.7618e-11,10,13,,,,
64,0.8787878787878789,-1.59411e-11,1.75718e-11,10,13,,,,
65,0.9393939393939394,-1.67991e-11,1.76216e-11,10,13,,,,
66,1.0,-1.75097e-11,1.76003e-11,10,13,,,,
67,1.0606060606060606,-1.85737e-11,1.75967e-11,10,13,,,,
68,1.121212121212121,-1.9453e-11,1.75878e-11,10,13,,,,
69,1.1818181818181817,-2.02417e-11,1.75168e-11,10,13,,,,
70,1.2424242424242422,-2.11121e-11,1.73853e-11,10,13,,,,
71,1.3030303030303028,-2.20394e-11,1.75914e-11,10,13,,,,
