,Corriente,Desfasaje,X,Y,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera,Volt al LED,Potencial Retardador
0,3.14382e-11,-55.47,1.78187e-11,-2.59012e-11,10,13,Fri Aug 30 12:57:07 2024,{1},{2.023},3.0,5.0,1.0
1,3.14186e-11,-55.458,1.78134e-11,-2.58834e-11,10,13,,,,,,
2,3.1495e-11,-55.272,1.79413e-11,-2.5887e-11,10,13,,,,,,
3,3.14666e-11,-54.996,1.80497e-11,-2.57768e-11,10,13,,,,,,
4,3.14186e-11,-54.822,1.81012e-11,-2.56827e-11,10,13,,,,,,
5,3.13884e-11,-54.954,1.8023e-11,-2.56987e-11,10,13,,,,,,
6,3.13494e-11,-55.134,1.792e-11,-2.57235e-11,10,13,,,,,,
7,3.12517e-11,-55.104,1.78791e-11,-2.56329e-11,10,13,,,,,,
8,3.10865e-11,-54.96,1.78472e-11,-2.54553e-11,10,13,,,,,,
9,3.0923e-11,-54.606,1.79093e-11,-2.52102e-11,10,13,,,,,,
10,3.09621e-11,-54.354,1.80443e-11,-2.51622e-11,10,13,,,,,,
11,3.10065e-11,-54.264,1.81083e-11,-2.51693e-11,10,13,,,,,,
12,3.11078e-11,-54.456,1.80834e-11,-2.53132e-11,10,13,,,,,,
13,3.1138e-11,-54.654,1.80141e-11,-2.54002e-11,10,13,,,,,,
14,3.10616e-11,-54.84,1.78862e-11,-2.53949e-11,10,13,,,,,,
15,3.10953e-11,-54.978,1.78472e-11,-2.5466e-11,10,13,,,,,,
16,3.11522e-11,-55.008,1.78649e-11,-2.55228e-11,10,13,,,,,,
17,3.11238e-11,-54.948,1.78738e-11,-2.54819e-11,10,13,,,,,,
18,3.0971e-11,-54.828,1.78401e-11,-2.53185e-11,10,13,,,,,,
19,3.08307e-11,-54.792,1.77743e-11,-2.51924e-11,10,13,,,,,,
20,3.09035e-11,-55.008,1.7721e-11,-2.53185e-11,10,13,,,,,,
21,3.11273e-11,-55.284,1.77282e-11,-2.55885e-11,10,13,,,,,,
22,3.136e-11,-55.446,1.7785e-11,-2.58301e-11,10,13,,,,,,
23,3.15501e-11,-55.566,1.78383e-11,-2.60237e-11,10,13,,,,,,
24,3.15714e-11,-55.71,1.77868e-11,-2.60841e-11,10,13,,,,,,
25,3.15679e-11,-55.638,1.78187e-11,-2.60593e-11,10,13,,,,,,
26,3.16869e-11,-55.506,1.79449e-11,-2.61161e-11,10,13,,,,,,
27,3.17633e-11,-55.338,1.80657e-11,-2.61268e-11,10,13,,,,,,
28,3.18023e-11,-55.326,1.80941e-11,-2.6157e-11,10,13,,,,,,
29,3.18237e-11,-55.446,1.80497e-11,-2.6212e-11,10,13,,,,,,
