,Corriente,Desfasaje,X,Y,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera,Volt al LED,Potencial Retardador
0,2.59136e-11,-45.75,1.80816e-11,-1.8563e-11,10,13,Fri Aug 30 12:45:31 2024,{1},{2.023},3.0,5.0,1.0
1,2.58887e-11,-46.062,1.79626e-11,-1.86448e-11,10,13,,,,,,
2,2.59314e-11,-46.482,1.78543e-11,-1.88064e-11,10,13,,,,,,
3,2.59935e-11,-46.662,1.78383e-11,-1.89059e-11,10,13,,,,,,
4,2.60593e-11,-46.554,1.792e-11,-1.89219e-11,10,13,,,,,,
5,2.60753e-11,-46.488,1.7952e-11,-1.89112e-11,10,13,,,,,,
6,2.61037e-11,-46.578,1.79413e-11,-1.89592e-11,10,13,,,,,,
7,2.61268e-11,-46.542,1.79697e-11,-1.89645e-11,10,13,,,,,,
8,2.61623e-11,-46.314,1.80692e-11,-1.89219e-11,10,13,,,,,,
9,2.6308e-11,-46.098,1.82433e-11,-1.89574e-11,10,13,,,,,,
10,2.64039e-11,-46.002,1.8341e-11,-1.89965e-11,10,13,,,,,,
11,2.64145e-11,-45.9,1.83819e-11,-1.89716e-11,10,13,,,,,,
12,2.64021e-11,-45.804,1.84049e-11,-1.89325e-11,10,13,,,,,,
13,2.63932e-11,-45.966,1.83428e-11,-1.89769e-11,10,13,,,,,,
14,2.62937e-11,-46.206,1.81971e-11,-1.89805e-11,10,13,,,,,,
15,2.62085e-11,-46.272,1.81154e-11,-1.89396e-11,10,13,,,,,,
16,2.61836e-11,-46.308,1.8087e-11,-1.89325e-11,10,13,,,,,,
17,2.62067e-11,-46.368,1.80834e-11,-1.8968e-11,10,13,,,,,,
18,2.62618e-11,-46.416,1.81047e-11,-1.90249e-11,10,13,,,,,,
19,2.62511e-11,-46.338,1.81243e-11,-1.89911e-11,10,13,,,,,,
20,2.61818e-11,-46.188,1.81243e-11,-1.88934e-11,10,13,,,,,,
21,2.61037e-11,-46.014,1.81278e-11,-1.87833e-11,10,13,,,,,,
22,2.59154e-11,-45.492,1.81669e-11,-1.84831e-11,10,13,,,,,,
23,2.56685e-11,-45.126,1.81101e-11,-1.819e-11,10,13,,,,,,
24,2.55423e-11,-44.94,1.80799e-11,-1.80443e-11,10,13,,,,,,
25,2.54518e-11,-44.85,1.80426e-11,-1.7952e-11,10,13,,,,,,
26,2.54535e-11,-44.736,1.80799e-11,-1.79164e-11,10,13,,,,,,
27,2.54997e-11,-44.724,1.81172e-11,-1.79449e-11,10,13,,,,,,
28,2.54748e-11,-44.928,1.80372e-11,-1.79911e-11,10,13,,,,,,
29,2.5434e-11,-44.766,1.80586e-11,-1.79129e-11,10,13,,,,,,
