,Corriente,Desfasaje,X,Y,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera,Volt al LED,Potencial Retardador
0,2.37322e-11,-40.164,1.81367e-11,-1.53088e-11,10,13,Fri Aug 30 12:32:32 2024,{1},{2.023},3.0,5.0,1.0
1,2.3766e-11,-40.53,1.80657e-11,-1.54455e-11,10,13,,,,,,
2,2.37642e-11,-40.374,1.81047e-11,-1.53958e-11,10,13,,,,,,
3,2.39703e-11,-40.608,1.81971e-11,-1.56036e-11,10,13,,,,,,
4,2.37909e-11,-40.476,1.80959e-11,-1.54455e-11,10,13,,,,,,
5,2.39241e-11,-40.662,1.81491e-11,-1.55894e-11,10,13,,,,,,
6,2.38122e-11,-40.848,1.80124e-11,-1.55752e-11,10,13,,,,,,
7,2.39205e-11,-40.698,1.81349e-11,-1.56001e-11,10,13,,,,,,
8,2.38335e-11,-40.71,1.80674e-11,-1.5545e-11,10,13,,,,,,
9,2.39578e-11,-40.98,1.8087e-11,-1.5712e-11,10,13,,,,,,
