,Corriente,Desfasaje,X,Y,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera,Volt al LED,Potencial Retardador
0,2.35599e-11,-39.894,1.80745e-11,-1.51116e-11,10,13,Fri Aug 30 12:38:36 2024,{1},{2.023},3.0,5.0,1.0
1,2.37678e-11,-40.476,1.80799e-11,-1.54295e-11,10,13,,,,,,
2,2.38228e-11,-40.602,1.8087e-11,-1.55059e-11,10,13,,,,,,
3,2.37571e-11,-40.644,1.80248e-11,-1.54757e-11,10,13,,,,,,
4,2.375e-11,-40.674,1.80124e-11,-1.54811e-11,10,13,,,,,,
5,2.38655e-11,-40.83,1.80568e-11,-1.56054e-11,10,13,,,,,,
6,2.38921e-11,-41.154,1.79875e-11,-1.57244e-11,10,13,,,,,,
7,2.39099e-11,-41.214,1.79875e-11,-1.57546e-11,10,13,,,,,,
8,2.39418e-11,-41.124,1.80355e-11,-1.57475e-11,10,13,,,,,,
9,2.39472e-11,-41.178,1.8023e-11,-1.57671e-11,10,13,,,,,,
10,2.39578e-11,-41.244,1.80141e-11,-1.57973e-11,10,13,,,,,,
11,2.40076e-11,-41.412,1.80053e-11,-1.58825e-11,10,13,,,,,,
12,2.41088e-11,-41.184,1.81438e-11,-1.58754e-11,10,13,,,,,,
13,2.40165e-11,-40.692,1.82095e-11,-1.56605e-11,10,13,,,,,,
14,2.37553e-11,-40.356,1.81012e-11,-1.53834e-11,10,13,,,,,,
15,2.34835e-11,-39.882,1.80195e-11,-1.50583e-11,10,13,,,,,,
16,2.3242e-11,-39.216,1.8007e-11,-1.46959e-11,10,13,,,,,,
17,2.32917e-11,-39.138,1.80674e-11,-1.47012e-11,10,13,,,,,,
18,2.35315e-11,-39.63,1.81225e-11,-1.50103e-11,10,13,,,,,,
19,2.37305e-11,-40.272,1.81047e-11,-1.53407e-11,10,13,,,,,,
20,2.37766e-11,-40.956,1.79573e-11,-1.55876e-11,10,13,,,,,,
21,2.38761e-11,-41.316,1.79324e-11,-1.57635e-11,10,13,,,,,,
22,2.3988e-11,-41.118,1.8071e-11,-1.57759e-11,10,13,,,,,,
23,2.38335e-11,-40.434,1.81403e-11,-1.5458e-11,10,13,,,,,,
24,2.36701e-11,-40.416,1.80213e-11,-1.53461e-11,10,13,,,,,,
25,2.36132e-11,-40.86,1.78578e-11,-1.54509e-11,10,13,,,,,,
26,2.35049e-11,-40.65,1.78312e-11,-1.53141e-11,10,13,,,,,,
27,2.37234e-11,-41.13,1.78685e-11,-1.56072e-11,10,13,,,,,,
28,2.41284e-11,-41.49,1.80728e-11,-1.59873e-11,10,13,,,,,,
29,2.44428e-11,-41.58,1.82842e-11,-1.62236e-11,10,13,,,,,,
