,Corriente,Desfasaje,X,Y,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera,Volt al LED,Potencial Retardador
0,1.93517e-11,-18.864,1.83108e-11,-6.25813e-12,10,13,Fri Aug 30 12:34:13 2024,{1},{2.023},3.0,5.0,1.0
1,1.92523e-11,-18.042,1.83055e-11,-5.96326e-12,10,13,,,,,,
2,1.93748e-11,-18.456,1.83783e-11,-6.13556e-12,10,13,,,,,,
3,1.91901e-11,-17.958,1.82557e-11,-5.91707e-12,10,13,,,,,,
4,1.92203e-11,-18.108,1.82682e-11,-5.97392e-12,10,13,,,,,,
5,1.91137e-11,-17.58,1.82202e-11,-5.77319e-12,10,13,,,,,,
6,1.91475e-11,-17.886,1.8222e-11,-5.87977e-12,10,13,,,,,,
7,1.92079e-11,-18.036,1.82646e-11,-5.94905e-12,10,13,,,,,,
8,1.90977e-11,-17.922,1.81722e-11,-5.87799e-12,10,13,,,,,,
9,1.90142e-11,-17.934,1.80923e-11,-5.8549e-12,10,13,,,,,,
