,Corriente,Desfasaje,X,Y,EscTemporal,EscAmplitud,Fecha de medicion,Tiempo Integracion,Frec de Señal,Tiempo de espera,Volt al LED,Potencial Retardador
0,1.88473e-11,-14.028,1.82842e-11,-4.56882e-12,10,13,Fri Aug 30 13:01:27 2024,{1},{2.023},3.0,5.0,1.0
1,1.87709e-11,-14.19,1.81989e-11,-4.60257e-12,10,13,,,,,,
2,1.87727e-11,-14.076,1.82095e-11,-4.56704e-12,10,13,,,,,,
3,1.87869e-11,-14.112,1.82202e-11,-4.58303e-12,10,13,,,,,,
4,1.87087e-11,-14.316,1.81261e-11,-4.62744e-12,10,13,,,,,,
5,1.87034e-11,-14.52,1.81047e-11,-4.69139e-12,10,13,,,,,,
6,1.87105e-11,-14.7,1.80976e-11,-4.74823e-12,10,13,,,,,,
7,1.87407e-11,-15.006,1.80994e-11,-4.85481e-12,10,13,,,,,,
8,1.86536e-11,-15.27,1.79946e-11,-4.91343e-12,10,13,,,,,,
9,1.85932e-11,-15.168,1.79449e-11,-4.86547e-12,10,13,,,,,,
10,1.8579e-11,-14.868,1.79573e-11,-4.76955e-12,10,13,,,,,,
11,1.85755e-11,-14.748,1.79626e-11,-4.72869e-12,10,13,,,,,,
12,1.86181e-11,-14.52,1.8023e-11,-4.66829e-12,10,13,,,,,,
13,1.8698e-11,-14.346,1.81154e-11,-4.63454e-12,10,13,,,,,,
14,1.88082e-11,-14.16,1.82362e-11,-4.60257e-12,10,13,,,,,,
15,1.88668e-11,-14.184,1.82913e-11,-4.62388e-12,10,13,,,,,,
16,1.88135e-11,-14.184,1.82397e-11,-4.61145e-12,10,13,,,,,,
17,1.87584e-11,-14.334,1.81758e-11,-4.6452e-12,10,13,,,,,,
18,1.87176e-11,-14.466,1.81243e-11,-4.67718e-12,10,13,,,,,,
19,1.87425e-11,-14.568,1.81403e-11,-4.71626e-12,10,13,,,,,,
20,1.88117e-11,-14.472,1.82149e-11,-4.70204e-12,10,13,,,,,,
21,1.88224e-11,-14.364,1.82344e-11,-4.67007e-12,10,13,,,,,,
22,1.88846e-11,-13.962,1.83268e-11,-4.55816e-12,10,13,,,,,,
23,1.89503e-11,-13.944,1.83907e-11,-4.56704e-12,10,13,,,,,,
24,1.89148e-11,-14.31,1.83286e-11,-4.6754e-12,10,13,,,,,,
25,1.89183e-11,-14.526,1.83126e-11,-4.74645e-12,10,13,,,,,,
26,1.89272e-11,-14.508,1.83232e-11,-4.7429e-12,10,13,,,,,,
27,1.89805e-11,-14.43,1.83819e-11,-4.73047e-12,10,13,,,,,,
28,1.91084e-11,-14.508,1.84991e-11,-4.78731e-12,10,13,,,,,,
29,1.91368e-11,-14.67,1.85133e-11,-4.84771e-12,10,13,,,,,,
